dey_match_id,phase,round,home_team,away_team,n_commentary,data_source,collection_method,verified,hb_number,half,hb_actual_minute,deviation_from_target,loaded_at,home_norm,away_norm,kaggle_match_id,date
12813014,Knockout,Round of 32,Germany,Paraguay,173,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Germany,Paraguay,75.0,2026-06-30
12813014,Knockout,Round of 32,Germany,Paraguay,173,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,70,3,2026-08-02T10:15:38.586814+00:00,Germany,Paraguay,75.0,2026-06-30
12812998,Knockout,Round of 32,Netherlands,Morocco,143,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,22,0,2026-08-02T10:15:38.586814+00:00,Netherlands,Morocco,76.0,2026-06-30
12812998,Knockout,Round of 32,Netherlands,Morocco,143,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,67,0,2026-08-02T10:15:38.586814+00:00,Netherlands,Morocco,76.0,2026-06-30
12812989,Knockout,Round of 32,Côte d'Ivoire,Norway,90,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,24,2,2026-08-02T10:15:38.586814+00:00,Ivory Coast,Norway,,
12812989,Knockout,Round of 32,Côte d'Ivoire,Norway,90,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Ivory Coast,Norway,,
12812995,Knockout,Round of 32,France,Sweden,114,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,France,Sweden,78.0,2026-07-01
12812995,Knockout,Round of 32,France,Sweden,114,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,France,Sweden,78.0,2026-07-01
12813001,Knockout,Round of 32,Mexico,Ecuador,110,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,25,3,2026-08-02T10:15:38.586814+00:00,Mexico,Ecuador,79.0,2026-07-01
12813001,Knockout,Round of 32,Mexico,Ecuador,110,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Mexico,Ecuador,79.0,2026-07-01
12813020,Knockout,Round of 32,England,DR Congo,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,England,Congo DR,80.0,2026-07-01
12813020,Knockout,Round of 32,England,DR Congo,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,England,Congo DR,80.0,2026-07-01
12813013,Knockout,Round of 32,Belgium,Senegal,150,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,27,5,2026-08-02T10:15:38.586814+00:00,Belgium,Senegal,81.0,2026-07-02
12813013,Knockout,Round of 32,Belgium,Senegal,150,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,70,3,2026-08-02T10:15:38.586814+00:00,Belgium,Senegal,81.0,2026-07-02
12812992,Knockout,Round of 32,USA,Bosnia & Herzegovina,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,United States,Bosnia and Herzegovina,,
12812992,Knockout,Round of 32,USA,Bosnia & Herzegovina,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,69,2,2026-08-02T10:15:38.586814+00:00,United States,Bosnia and Herzegovina,,
12813004,Knockout,Round of 32,Spain,Austria,116,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,24,2,2026-08-02T10:15:38.586814+00:00,Spain,Austria,83.0,2026-07-03
12813004,Knockout,Round of 32,Spain,Austria,116,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Spain,Austria,83.0,2026-07-03
12812997,Knockout,Round of 32,Portugal,Croatia,111,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,24,2,2026-08-02T10:15:38.586814+00:00,Portugal,Croatia,84.0,2026-07-03
12812997,Knockout,Round of 32,Portugal,Croatia,111,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,69,2,2026-08-02T10:15:38.586814+00:00,Portugal,Croatia,84.0,2026-07-03
12813019,Knockout,Round of 32,Switzerland,Algeria,102,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,25,3,2026-08-02T10:15:38.586814+00:00,Switzerland,Algeria,85.0,2026-07-03
12813019,Knockout,Round of 32,Switzerland,Algeria,102,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,67,0,2026-08-02T10:15:38.586814+00:00,Switzerland,Algeria,85.0,2026-07-03
