match_id,utc_date,status,matchday,stage,group_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score_home_ft,score_away_ft,score_home_ht,score_away_ht,winner,duration,referee_name,referee_nationality,venue_name,venue_city,venue_country,venue_has_ac,venue_latitude,venue_longitude,venue_timezone,collected_at
537327,2026-06-11T19:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_A,769.0,Mexico,MEX,774.0,South Africa,RSA,2.0,0.0,1.0,0.0,HOME_TEAM,REGULAR,Wilton Sampaio,Brazil,,,,,,,,2026-06-29T08:56:57.698438+00:00
537328,2026-06-12T02:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_A,772.0,South Korea,KOR,798.0,Czechia,CZE,2.0,1.0,0.0,0.0,HOME_TEAM,REGULAR,Amin Omar,Egypt,,,,,,,,2026-06-29T08:56:57.700076+00:00
537329,2026-06-18T16:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_A,798.0,Czechia,CZE,774.0,South Africa,RSA,1.0,1.0,1.0,0.0,DRAW,REGULAR,Tori Penso,USA,,,,,,,,2026-06-29T08:56:57.700602+00:00
537330,2026-06-19T01:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_A,769.0,Mexico,MEX,772.0,South Korea,KOR,1.0,0.0,0.0,0.0,HOME_TEAM,REGULAR,Gustavo Tejera,Uruguay,,,,,,,,2026-06-29T08:56:57.700624+00:00
537331,2026-06-25T01:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_A,798.0,Czechia,CZE,769.0,Mexico,MEX,0.0,3.0,0.0,0.0,AWAY_TEAM,REGULAR,Yael Falcón,Argentina,,,,,,,,2026-06-29T08:56:57.700804+00:00
537332,2026-06-25T01:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_A,774.0,South Africa,RSA,772.0,South Korea,KOR,1.0,0.0,0.0,0.0,HOME_TEAM,REGULAR,Facundo Tello,Argentina,,,,,,,,2026-06-29T08:56:57.700812+00:00
537333,2026-06-12T19:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_B,828.0,Canada,CAN,1060.0,Bosnia-Herzegovina,BIH,1.0,1.0,0.0,1.0,DRAW,REGULAR,Facundo Tello,Argentina,,,,,,,,2026-06-29T08:56:57.700300+00:00
537334,2026-06-13T19:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_B,8030.0,Qatar,QAT,788.0,Switzerland,SUI,1.0,1.0,0.0,1.0,DRAW,REGULAR,Said Martinez,Honduras,,,,,,,,2026-06-29T08:56:57.700331+00:00
537335,2026-06-18T19:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_B,788.0,Switzerland,SUI,1060.0,Bosnia-Herzegovina,BIH,4.0,1.0,0.0,0.0,HOME_TEAM,REGULAR,João Pinheiro,Portugal,,,,,,,,2026-06-29T08:56:57.700609+00:00
537336,2026-06-18T22:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_B,828.0,Canada,CAN,8030.0,Qatar,QAT,6.0,0.0,3.0,0.0,HOME_TEAM,REGULAR,Cristián Garay,Chile,,,,,,,,2026-06-29T08:56:57.700617+00:00
537337,2026-06-24T19:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_B,788.0,Switzerland,SUI,828.0,Canada,CAN,2.0,1.0,0.0,0.0,HOME_TEAM,REGULAR,Ramon Abatti Abel,Brazil,,,,,,,,2026-06-29T08:56:57.700776+00:00
537338,2026-06-24T19:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_B,1060.0,Bosnia-Herzegovina,BIH,8030.0,Qatar,QAT,3.0,1.0,2.0,1.0,HOME_TEAM,REGULAR,Jesús Valenzuela,Venezuela,,,,,,,,2026-06-29T08:56:57.700783+00:00
537339,2026-06-13T22:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_C,764.0,Brazil,BRA,815.0,Morocco,MAR,1.0,1.0,1.0,1.0,DRAW,REGULAR,Slavko Vinčič,Slovenia,,,,,,,,2026-06-29T08:56:57.700341+00:00
537340,2026-06-14T01:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_C,836.0,Haiti,HAI,8873.0,Scotland,SCO,0.0,1.0,0.0,1.0,AWAY_TEAM,REGULAR,Mustapha Ghorbal,,,,,,,,,2026-06-29T08:56:57.700350+00:00
537341,2026-06-20T00:30:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_C,764.0,Brazil,BRA,836.0,Haiti,HAI,3.0,0.0,3.0,0.0,HOME_TEAM,REGULAR,Alejandro Hernández Hernández,Spain,,,,,,,,2026-06-29T08:56:57.700645+00:00
537342,2026-06-19T22:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_C,8873.0,Scotland,SCO,815.0,Morocco,MAR,0.0,1.0,0.0,1.0,AWAY_TEAM,REGULAR,Il'giz Tantashev,Uzbekistan,,,,,,,,2026-06-29T08:56:57.700638+00:00
