id,group_name,team_id,team_name,position,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,collected_at
49,Group A,769,Mexico,1,3,3,0,0,6,0,6,9,2026-06-29T08:57:02.748461+00:00
50,Group A,774,South Africa,2,3,1,1,1,2,3,-1,4,2026-06-29T08:57:02.748734+00:00
51,Group A,772,South Korea,3,3,1,0,2,2,3,-1,3,2026-06-29T08:57:02.748775+00:00
52,Group A,798,Czechia,4,3,0,1,2,2,6,-4,1,2026-06-29T08:57:02.748790+00:00
53,Group B,788,Switzerland,1,3,2,1,0,7,3,4,7,2026-06-29T08:57:02.748808+00:00
54,Group B,828,Canada,2,3,1,1,1,8,3,5,4,2026-06-29T08:57:02.748822+00:00
55,Group B,1060,Bosnia-Herzegovina,3,3,1,1,1,5,6,-1,4,2026-06-29T08:57:02.748834+00:00
56,Group B,8030,Qatar,4,3,0,1,2,2,10,-8,1,2026-06-29T08:57:02.748846+00:00
57,Group C,764,Brazil,1,3,2,1,0,7,1,6,7,2026-06-29T08:57:02.748860+00:00
58,Group C,815,Morocco,2,3,2,1,0,6,3,3,7,2026-06-29T08:57:02.748874+00:00
59,Group C,8873,Scotland,3,3,1,0,2,1,4,-3,3,2026-06-29T08:57:02.748886+00:00
60,Group C,836,Haiti,4,3,0,0,3,2,8,-6,0,2026-06-29T08:57:02.748899+00:00
61,Group D,771,United States,1,3,2,0,1,8,4,4,6,2026-06-29T08:57:02.748912+00:00
62,Group D,779,Australia,2,3,1,1,1,2,2,0,4,2026-06-29T08:57:02.748925+00:00
63,Group D,761,Paraguay,3,3,1,1,1,2,4,-2,4,2026-06-29T08:57:02.748938+00:00
64,Group D,803,Turkey,4,3,1,0,2,3,5,-2,3,2026-06-29T08:57:02.748950+00:00
65,Group E,759,Germany,1,3,2,0,1,10,4,6,6,2026-06-29T08:57:02.748964+00:00
66,Group E,1935,Ivory Coast,2,3,2,0,1,4,2,2,6,2026-06-29T08:57:02.748978+00:00
67,Group E,791,Ecuador,3,3,1,1,1,2,2,0,4,2026-06-29T08:57:02.748989+00:00
68,Group E,9460,Curaçao,4,3,0,1,2,1,9,-8,1,2026-06-29T08:57:02.749004+00:00
69,Group F,8601,Netherlands,1,3,2,1,0,10,4,6,7,2026-06-29T08:57:02.749020+00:00
70,Group F,766,Japan,2,3,1,2,0,7,3,4,5,2026-06-29T08:57:02.749033+00:00
71,Group F,792,Sweden,3,3,1,1,1,7,7,0,4,2026-06-29T08:57:02.749048+00:00
72,Group F,802,Tunisia,4,3,0,0,3,2,12,-10,0,2026-06-29T08:57:02.749060+00:00
73,Group G,805,Belgium,1,3,1,2,0,6,2,4,5,2026-06-29T08:57:02.749071+00:00
74,Group G,825,Egypt,2,3,1,2,0,5,3,2,5,2026-06-29T08:57:02.749083+00:00
75,Group G,840,Iran,3,3,0,3,0,3,3,0,3,2026-06-29T08:57:02.749095+00:00
76,Group G,783,New Zealand,4,3,0,1,2,4,10,-6,1,2026-06-29T08:57:02.749106+00:00
77,Group H,760,Spain,1,3,2,1,0,5,0,5,7,2026-06-29T08:57:02.749118+00:00
78,Group H,1930,Cape Verde Islands,2,3,0,3,0,2,2,0,3,2026-06-29T08:57:02.749129+00:00
79,Group H,758,Uruguay,3,3,0,2,1,3,4,-1,2,2026-06-29T08:57:02.749141+00:00
80,Group H,801,Saudi Arabia,4,3,0,2,1,1,5,-4,2,2026-06-29T08:57:02.749152+00:00
81,Group I,773,France,1,3,3,0,0,10,2,8,9,2026-06-29T08:57:02.749164+00:00
82,Group I,8872,Norway,2,3,2,0,1,8,7,1,6,2026-06-29T08:57:02.749176+00:00
83,Group I,804,Senegal,3,3,1,0,2,8,6,2,3,2026-06-29T08:57:02.749187+00:00
84,Group I,8062,Iraq,4,3,0,0,3,1,12,-11,0,2026-06-29T08:57:02.749198+00:00
85,Group J,762,Argentina,1,3,3,0,0,8,1,7,9,2026-06-29T08:57:02.749210+00:00
86,Group J,816,Austria,2,3,1,1,1,6,6,0,4,2026-06-29T08:57:02.749222+00:00
87,Group J,778,Algeria,3,3,1,1,1,5,7,-2,4,2026-06-29T08:57:02.749244+00:00
88,Group J,8049,Jordan,4,3,0,0,3,3,8,-5,0,2026-06-29T08:57:02.749256+00:00
89,Group K,818,Colombia,1,3,2,1,0,4,1,3,7,2026-06-29T08:57:02.749268+00:00
90,Group K,765,Portugal,2,3,1,2,0,6,1,5,5,2026-06-29T08:57:02.749279+00:00
91,Group K,1934,Congo DR,3,3,1,1,1,4,3,1,4,2026-06-29T08:57:02.749290+00:00
92,Group K,8070,Uzbekistan,4,3,0,0,3,2,11,-9,0,2026-06-29T08:57:02.749301+00:00
93,Group L,770,England,1,3,2,1,0,6,2,4,7,2026-06-29T08:57:02.749313+00:00
94,Group L,799,Croatia,2,3,2,0,1,5,5,0,6,2026-06-29T08:57:02.749324+00:00
95,Group L,763,Ghana,3,3,1,1,1,2,2,0,4,2026-06-29T08:57:02.749334+00:00
96,Group L,1836,Panama,4,3,0,0,3,0,4,-4,0,2026-06-29T08:57:02.749345+00:00
