team_id,team_name,team_short_name,team_code,collected_at
758,Uruguay,Uruguay,URU,2026-06-29T08:57:00.173750+00:00
759,Germany,Germany,GER,2026-06-29T08:57:00.174766+00:00
760,Spain,Spain,ESP,2026-06-29T08:57:00.174799+00:00
761,Paraguay,Paraguay,PAR,2026-06-29T08:57:00.174804+00:00
762,Argentina,Argentina,ARG,2026-06-29T08:57:00.174808+00:00
763,Ghana,Ghana,GHA,2026-06-29T08:57:00.174812+00:00
764,Brazil,Brazil,BRA,2026-06-29T08:57:00.174816+00:00
765,Portugal,Portugal,POR,2026-06-29T08:57:00.174820+00:00
766,Japan,Japan,JPN,2026-06-29T08:57:00.174824+00:00
769,Mexico,Mexico,MEX,2026-06-29T08:57:00.174827+00:00
770,England,England,ENG,2026-06-29T08:57:00.174831+00:00
771,United States,USA,USA,2026-06-29T08:57:00.174834+00:00
772,South Korea,Korea Republic,KOR,2026-06-29T08:57:00.174838+00:00
773,France,France,FRA,2026-06-29T08:57:00.174861+00:00
774,South Africa,South Africa,RSA,2026-06-29T08:57:00.174864+00:00
778,Algeria,Algeria,ALG,2026-06-29T08:57:00.174868+00:00
779,Australia,Australia,AUS,2026-06-29T08:57:00.174872+00:00
783,New Zealand,New Zealand,NZL,2026-06-29T08:57:00.174875+00:00
788,Switzerland,Switzerland,SUI,2026-06-29T08:57:00.174879+00:00
791,Ecuador,Ecuador,ECU,2026-06-29T08:57:00.174882+00:00
792,Sweden,Sweden,SWE,2026-06-29T08:57:00.174903+00:00
798,Czechia,Czechia,CZE,2026-06-29T08:57:00.174906+00:00
799,Croatia,Croatia,CRO,2026-06-29T08:57:00.174910+00:00
801,Saudi Arabia,Saudi Arabia,KSA,2026-06-29T08:57:00.174913+00:00
802,Tunisia,Tunisia,TUN,2026-06-29T08:57:00.174916+00:00
803,Turkey,Turkey,TUR,2026-06-29T08:57:00.174920+00:00
804,Senegal,Senegal,SEN,2026-06-29T08:57:00.174923+00:00
805,Belgium,Belgium,BEL,2026-06-29T08:57:00.174927+00:00
815,Morocco,Morocco,MAR,2026-06-29T08:57:00.174930+00:00
816,Austria,Austria,AUT,2026-06-29T08:57:00.174934+00:00
818,Colombia,Colombia,COL,2026-06-29T08:57:00.174937+00:00
825,Egypt,Egypt,EGY,2026-06-29T08:57:00.174940+00:00
828,Canada,Canada,CAN,2026-06-29T08:57:00.174944+00:00
836,Haiti,Haiti,HAI,2026-06-29T08:57:00.174947+00:00
840,Iran,Iran,IRN,2026-06-29T08:57:00.174950+00:00
1060,Bosnia-Herzegovina,Bosnia-H.,BIH,2026-06-29T08:57:00.174953+00:00
1836,Panama,Panama,PAN,2026-06-29T08:57:00.174957+00:00
1930,Cape Verde Islands,Cape Verde,CPV,2026-06-29T08:57:00.174960+00:00
1934,Congo DR,Congo DR,COD,2026-06-29T08:57:00.174963+00:00
1935,Ivory Coast,Ivory Coast,CIV,2026-06-29T08:57:00.174967+00:00
8030,Qatar,Qatar,QAT,2026-06-29T08:57:00.174970+00:00
8049,Jordan,Jordan,JOR,2026-06-29T08:57:00.174973+00:00
8062,Iraq,Iraq,IRQ,2026-06-29T08:57:00.174976+00:00
8070,Uzbekistan,Uzbekistan,UZB,2026-06-29T08:57:00.174980+00:00
8601,Netherlands,Netherlands,NED,2026-06-29T08:57:00.174983+00:00
8872,Norway,Norway,NOR,2026-06-29T08:57:00.174986+00:00
8873,Scotland,Scotland,SCO,2026-06-29T08:57:00.174989+00:00
9460,Curaçao,Curaçao,CUW,2026-06-29T08:57:00.174993+00:00
