match_id,date,kickoff_hour_utc,stadium_name,city,country,elevation_meters,timezone,temp_celsius,humidity_pct,feels_like_celsius,precipitation_mm,wind_speed_kmh,cloud_cover_pct,heat_index_celsius,heat_stress_category,above_fifa_threshold_32c,collected_at
1,2026-06-11,19,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,2200,America/Mexico_City,16.9,88,17.5,0.4,6.9,55,16.9,Low,0,2026-08-02T10:16:56.557176+00:00
2,2026-06-11,23,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,1566,America/Mexico_City,18.4,93,19.7,0.0,8.7,24,18.4,Low,0,2026-08-02T10:17:01.925403+00:00
3,2026-06-12,19,Toronto Stadium (BMO Field),Toronto,CAN,76,America/Toronto,25.2,42,23.2,0.0,17.1,5,25.2,Low,0,2026-08-02T10:17:05.074889+00:00
4,2026-06-12,23,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,30,America/Los_Angeles,19.4,82,20.8,0.0,4.9,0,19.4,Low,0,2026-08-02T10:17:07.861101+00:00
5,2026-06-13,15,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,30.2,30,31.2,0.0,9.0,0,28.94,Moderate,0,2026-08-02T10:17:13.116136+00:00
6,2026-06-13,18,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,31.3,29,30.1,0.0,10.0,19,29.95,Moderate,0,2026-08-02T10:17:14.958168+00:00
7,2026-06-13,21,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,3,America/New_York,27.7,40,27.6,0.0,6.5,93,27.41,Moderate,0,2026-08-02T10:17:19.288894+00:00
8,2026-06-13,23,Seattle Stadium (Lumen Field),Seattle,USA,3,America/Los_Angeles,20.3,47,18.3,0.0,10.7,99,20.3,Low,0,2026-08-02T10:17:21.046001+00:00
9,2026-06-14,15,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,318,America/New_York,31.7,50,34.2,0.1,16.7,70,33.82,High,1,2026-08-02T10:17:25.361779+00:00
10,2026-06-14,18,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,8,America/Los_Angeles,22.9,53,21.7,0.0,14.3,0,22.9,Low,0,2026-08-02T10:17:27.220040+00:00
11,2026-06-14,21,Houston Stadium (NRG Stadium),Houston,USA,14,America/Chicago,26.1,93,31.8,0.1,6.2,98,26.1,Low,0,2026-08-02T10:17:31.613455+00:00
12,2026-06-14,23,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,20.1,65,20.6,0.0,3.8,87,20.1,Low,0,2026-08-02T10:17:36.992876+00:00
13,2026-06-15,15,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,33.5,52,38.5,0.2,11.4,69,37.96,High,1,2026-08-02T10:17:42.670270+00:00
14,2026-06-15,18,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,27.2,79,31.8,0.0,6.4,51,30.08,Moderate,0,2026-08-02T10:17:44.458034+00:00
15,2026-06-15,21,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,538,America/Mexico_City,24.0,91,28.6,1.5,3.1,100,24.0,Low,0,2026-08-02T10:17:46.804745+00:00
16,2026-06-15,23,Vancouver Stadium (BC Place),Vancouver,CAN,9,America/Vancouver,20.6,58,20.9,0.0,2.2,12,20.6,Low,0,2026-08-02T10:17:49.525606+00:00
17,2026-06-16,15,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,24.6,34,25.3,0.0,5.7,27,24.6,Low,0,2026-08-02T10:17:52.179693+00:00
